genes,name,source,SystemsTerm,NonSystemsTerm,Systems_Publications,Cancer_Publications,MutationNumber,GeneNumber
ERC1|IKBKB|IKBKG|IL1A|IL1B|IL1R2|IL1R1|TICAM2|MAP3K3|JUN|MAP3K7|DEFB119|PIK3R1|IRAK3|MAPK8|IRAK1|IRAK4|PRKCI|TRAF6|SQSTM1|CHUK|PRKCZ|IL1RAP|UBE2V1|IL1RN|MYD88|TOLLIP|CASP1|TAB2|TAB1|UBE2N|NFKB1|PIK3CA|MAP2K6|NFKBIB|NFKBIA|SERINC3|IKBKB|RNPEP|MLVI2|IKBKG|MAP2K4|EYCL1|IL1B|IL1R2|PELI1|TRAF6|PELI2|MAP3K2|MAP3K3|MAP3K7|DOK1|PIK3R2|PIK3R1|IRAK2|IRAK3|RELA|IRAK1|NF1|SIRPA|SQSTM1|CDC25B|CHUK|CST2|PRKCZ|ECSIT|IL1RAP|UBE2V1|STT3A|IL1A|IL1RN|TOLLIP|TAB3|TAB2|TAB1|MAP3K14|NDUFS5,IL1-mediated signaling events,PID,"(IL1 AND cancer) AND (""systems biology"" OR computational)",(IL1 AND cancer),5,329,610,77
MAP3K7|IKBKB|IKBKG|NFKBIA|RELA|NKFB1|IL1A|IL1R1|IL1RAP|MYD88|IRAK1|TOLLIP|IRAK4|PELI1|RNF11|ITCH|TAX1BP1|TNFAIP3|UBE2V1|TRAF6|UBE2N|TAB2,IL1 Receptor,Signor,"(IL1 AND cancer) AND (""systems biology"" OR computational)",(IL1 AND cancer),5,329,114,22
BCL2L1|PDGFRA|NANOS2|IL23A|POU2F1|TINAGL1|TGFB2|H2AFY|MAPK14|MAPK11|COL24A1|CCNA2|RUVBL2|GADD45A|JUN|PPARGC1A|RB1|C21orf33|IFNG|CBFB|DUSP8|TH|DUSP5|MAPK8|MAPK9|MAPK3|CUL3|DDIT3|NF1|FOS|PRKCA|PLAU|JUND|CREB1|HRK|ACHE|EP300|SERPINB5|DUSP10|DUSP12|HBG2|RNASEH2A|SOCS3|ESR1|CCND1|CXCL8|BRCA1P1|JDP2|KAT5|INS|CDK4|CEBPD|BCL2|SELE|MAPK1|CSRP2|MMP2|ATF3|ATF2,ATF-2 transcription factor network,PID,"(ATF2 AND cancer) AND (""systems biology"" OR computational)",(ATF2 AND cancer),4,326,570,59
PDGFRB|FYN|EGFR|PDGFB|IRS1|AKT1|INSR|NOX4|LEPROT|CRK|TYK2|PTPN1|YES1|CAV1|NCOA3|STAT3|PRLR|ITGA2B|CSF1R|FGR|EGF|DOK1|JAK2|CAPN1|SLC7A7|LYN|CDH2|ITGB3|SHC1|CSK|ABL1|PIK3R1|TXN2|LEPR|FER|BLK|HCK|RHOA|FCGR2A|BCAR1|TRPV6|SOCS3|SPRY2|CSF1|INS|PTP4A2P1|STAT5B|STAT5A|GRB2|CSN2|PIK3CA|YBX1|LCK,Signaling events mediated by PTP1B,PID,"(PTP1B AND cancer) AND (""systems biology"" OR computational)",(PTP1B AND cancer),12,325,691,53
TGM2|GNB5|TBXA2R|FYN|EGFR|MAPK14|AKT1|DNM1|MAPK11|PTGDR|ARHGEF1|GNAI2|EGF|YES1|NCOA3|SLC9A3R1|GRK2|GRK3|FGR|PIK3CG|RAB11A|PIK3R6|PRKG1|ICAM1|GNG2|LYN|RNASE1|PRKCH|PLCB2|PRKCA|GNB1|PRKCB|PRKCE|PRKCD|PRKCG|PTGIR|PRKCZ|ARR3|VCAM1|BLK|PRKCQ|HCK|RHOA|GNA12|GNAQ|SYK|SELE|NANOS3|ROCK1|GNA14|GNA15|PRKACA|GNA13|GNA11|ARRB2|LCK,Thromboxane A2 receptor signaling,PID,"(thromboxane A2 AND cancer) AND (""systems biology"" OR computational)",(thromboxane A2 AND cancer),2,318,641,56
ACADVL|G6PC|KCNJ11|AKT1|PCK1|DLK1|NKX2-1|ACADM|CEBPB|CEBPA|RNY4P3|CEBPD|TTR|PLUT|HADHA|APOA1|CPT1C|ALAS1|TFRC|FOXF1|HNF1A|CHKB-CPT1B|CPT1A|HMGCS1|NR3C1|NF1|PKLR|GCK|UCP2|CREB1|HTATSF1P1|IGFBP1|LCP1|ALDOB|AFP|BDH1|HNF4A|SLC2A2|INS|FOXA1|FOXA3|FOXA2|ABCC8|ALB|PSG1,FOXA2 and FOXA3 transcription factor networks,PID,"((FOXA2 or FOXA3) AND cancer) AND (""systems biology"" OR computational)",((FOXA2 or FOXA3) AND cancer),18,278,464,45
ITGA1|ITGA2|ITGA4|ITGA5|MAPK14|AKT1|MAPK11|MAP2K4|CRK|FLT4|PIK3CA|MAPK3|MAPK1|PIK3R1|ITGB1|SHC1|CREB1|VEGFD|VEGFC|RPS6KA1|SOS1|FN1|PRRT2|GRB2|COL1A2|COL1A1,VEGFR3 signaling in lymphatic endothelium,PID,"(VEGFR3 AND cancer) AND (""systems biology"" OR computational)",(VEGFR3 AND cancer),8,271,394,26
HIST1H4C|HIST1H4B|HDAC3|HDAC5|HDAC4|HIST1H4E|HDAC6|SUMO1|HIST1H4J|HIST1H4I|HIST1H4H|RFXANK|HIST1H4L|GATA2|HIST2H2BE|BCORL1|HIST1H4F|NCOR2|BCL6|XPO1|NUP153|HIST4H4|NUP62|RAN|TUBA1B|HIST1H4D|GRK2|CAMK4|HDAC9|NUP214|NUP210|YWHAE|NR3C1|GNB1|RANGAP1|CAMK2A|YWHAB|HIST2H3D|HIST2H3C|HIST2H3A|HDAC10|TUBB2A|HIST2H2AC|GATA1|UBE2I|HIST1H4A|ESR1|SPATA6|MEF2C|GNG2|HIST1H4K|HDAC11|HSP90AA1|RANBP2|ANKRA2,Signaling events mediated by HDAC Class II,PID,"(HDAC class II AND cancer) AND (""systems biology"" OR computational)",(HDAC class II AND cancer),5,270,558,55
HDAC1|CSF2RB|GAB2|SRP9|YWHAZ|CEBPB|PIK3CA|CNKSR1|PRKACG|OSM|CISH|PIK3R1|JAK2|YWHAG|SHC1|PIM1|IL3RA|INPP5D|PTPN11|ID1|STAT5B|STAT5A|GRB2|PRKACA|IL3|BCL2L1|PRKACB|CSF2RB|BCL2L1|PTK2|CRKL|HRAS|CDX2|BAX|GAB1|CTNNB1|MAP2K1|DNM1|RAPGEF1|PKD2L1|L1CAM|CRK|YWHAZ|RAB3IL1|FCER1G|STAT3|STAT5B|FYN|GNG4|PTPN6|MAPK3|DOK1|JAK2|PIK3R2|PIK3R1|JAK1|YWHAB|NMB|MAPK8|RACK1|MAPK1|RARA|LCP2|LYN|SHC1|NCOA3|VCL|RXRA|CREB1|CST2|LAMP5|CNGA3|IL3RA|HCK|FADS3|GATA2|MC5R|GATA1|STAG3L5P-PVRIG2P-PILRB|FOXO3|SOCS3|SOS1|CNN2|SYK|PPP2CA|SOCS2|CCKAR|CBL|VAV1|STAT5A|GRB2|PRKACA|LRBA|PPP3CA|CEBPA|DRD3|LCK,IL3-mediated signaling events,PID,"(IL3 AND cancer) AND (""systems biology"" OR computational)",(IL3 AND cancer),1,238,877,97
EGLN3|EGLN2|EGLN1|CDKN2A|TP53|NAA10|HIF1AN|HIF1A|HIF3A|VHL|ELOB|ELOC|MIA3|RBX1|HSP90AA1|COPS5|OS9|CUL2|RACK1,Hypoxic and oxygen homeostasis regulation of HIF-1-alpha,PID,"((HIF1 alpha AND hypoxia) AND cancer) AND (""systems biology"" OR computational)",((HIF1 alpha AND hypoxia) AND cancer),8,236,450,19
MYF5|MYF6|PSMD4|SMAD3|UBE2L4|FRA6G|FHL2|SMURF2|MYOD1|CLA3|ETS2|LINC00441|ANXA13|COX5BP1|GALT|RBL2|ID3|TCF3|CD69|PAX5|CA11|KCNN1|GDI1|PAX8|UBE2N|ID4|KCNH8|TCF7L2|ID1|CDK2|SREBF1|TCF12|ATF3,ID Signalling Pathway,NetPath,"(""inhibitor of DNA binding"" AND cancer) AND (""systems biology"" OR computational)","(""inhibitor of DNA binding"" AND cancer)",7,231,241,33
TGFB1|TGFB3|ACVR1|SMAD9|ACVR2A|SMAD4|SMAD5|SMAD7|SMAD1|ARRB2|CAV1|MAPK3|GDF2|INHBA|MAPK1|TGFBR2|ACVR2B|ACVRL1|ENG|TGFBR1|PPP1CA|TLX2|ID1|BMPR2|FKBP1A|CSNK2B,ALK1 signaling events,PID,"(""ALK1"" AND cancer) AND (""systems biology"" OR computational)","(""ALK1"" AND cancer)",4,224,198,26
PDGFRB|PTK2|VAV2|PDGFB|RAP1A|CTNNB1|RAPGEF1|CRK|IQGAP1|NCOA3|PVR|PIK3CA|TLN1|NECTIN2|NECTIN3|NECTIN1|PIK3R1|CDH1|CLDN1|RNASE1|ITGB3|FARP2|RAP1B|CTNNA1|F11R|PIP5K1C|AFDN|ITGAV|PTPRM|CDC42,Nectin adhesion pathway,PID,"(Nectin AND cancer) AND (""systems biology"" OR computational)",(Nectin AND cancer),6,210,261,30
TGFB1|TBX21|IL12B|IL12A|IL6ST|TYK2|IL1B|LTBR|STAT4|STAT3|STAT2|STAT1|CEBPD|IL12RB1|IL12RB2|JAK2|JAK1|IL2|IL17A|IFNG|GATA3|IL18|IL27RA|STAT5A|MYDGF|EBI3,IL27-mediated signaling events,PID,"(IL27 AND cancer) AND (""systems biology"" OR computational)",(IL27 AND cancer),4,209,199,26
WNT3A|NFATC2|RNU6-664P|ARRB2|MAPK10|YES1|FZD2|CHD7|FZD7|MAP3K7|ROR2|DVL2|DVL3|FZD6|NLK|MAPK9|SETDB1|RNASE1|DAAM1|CAMK2A|PPARG|PRKCZ|RHOA|MAPK8|CSNK1A1|DVL1P1|TAB2|TAB1|ROCK1|FLNA|WNT5A|CTHRC1|CDC42,Noncanonical Wnt signaling pathway,PID,"((WNT and noncanonical) AND cancer) AND (""systems biology"" OR computational)",((WNT and noncanonical) AND cancer),4,200,360,33
NOC2L|PMAIP1|MFGE8|WWP1|PLK1|CDKN1A|ITGA3|BAX|NQO1|IKBKB|ABL1|CDKN2A|FDXR|BBC3|PML|OGG1|AEN|TP63|ITCH|EGR2|GADD45A|TFAP2C|YWHAQ|DHRS3|SSRP1|PERP|CYP27B1|CABLES1|GDF15|JAG1|S100A2|CLCA2|TRAF4|ITGB4|DST|SPATA18|CHUK|TP53I3|PRKCD|IGFBP3|SMARCD3|ADA|SHH|EVPL|MDM2|EP300|SERPINB5|DICER1|BTRC|HBP1|GPX2|FLOT2|FAS|PSG1,Validated transcriptional targets of TAp63 isoforms,PID,"(TAp63 AND cancer) AND (""systems biology"" OR computational)",(TAp63 AND cancer),0,199,662,54
VAV2|KLHL20|CYFIP2|ENAH|AP1M1|RAP1B|RAP1A|CTNNB1|AKT1|CTTN|RAPGEF1|CTNND1|CRK|IQGAP1|NCKAP1|DLG1|NCOA3|WASF2|PIK3CA|ARF6|ABI1|TIAM1|JUP|PIK3R1|CDH1|RNASE1|ITGB7|RHOA|CTNNA1|TJP1|NME1|CCND1|CA2|AFDN|PIP5K1C|ITGAE|CDC42,E-cadherin signaling in the nascent adherens junction,PID,"((""E-cadherin"" AND ""adherens junction"") AND cancer) AND (""systems biology"" OR computational)","((""E-cadherin"" AND ""adherens junction"") AND cancer) ",3,189,377,37
HDAC1|TNFSF12|TRAF2|PTPRR|TRAF1|KIF25|CD163|FADD|BIRC2|DEFB119|RIPK1|IFNGR1|TNFRSF25|IGLC3|CXCL10|RELA|NFKB2,TWEAK Signalling Pathway,NetPath,"(TWEAK AND cancer) AND (""systems biology"" OR computational)",(TWEAK AND cancer),5,186,143,17
EGFR|ADRB2|USP6|ARF6|IQSEC1|ARRB2|ARRB1|FBXO8|TSHR|EGF|NCOA3|ARAP2|ITGA2B|KIF13B|ADAP1|PXN|ITGB3|LHCGR|ACAP1|EFNA1|EPHA2|ACAP2|HGF|CYTH3|CYTH2|AGTR1|GNAQ|NCK1|GULP1|PSD|MET|GNA14|GNA15|GIT1|GNA11|IPCEF1,Arf6 signaling events,PID,"(""ARF6"" AND cancer) AND (""systems biology"" OR computational)","(""ARF6"" AND cancer)",1,185,488,36
TIMP1|HDAC9|SLC2A3|HIF1A|TFF3|AKT1|ID2|ABCG2|NDRG1|KCNA4|KCNA5|PLIN2|SERPINE1|FECH|FURIN|NCOA2|COPS5|NCOA1|HMOX1|BHLHE40|BHLHE41|ENG|NT5E|RORA|JUN|SMAD4|ABCB1|TFRC|EGLN1|S100A8|PSG1|CXCR4|EDN1|CITED2|TERT|LDHA|ETS1|PKM|ITGB2|FOS|GCK|NPM1|PGM1|CREB1|LEPR|SMAD3|ENO1|IGFBP1|VEGFA|MIA3|ALDOA|EP300|GATA2|PFKL|BNIP3|EGLN3|CA9|F3|ADM|NANOS2|HNF4A|SLC2A1|CXCL12|PGK1|PFKFB3|CREBBP|MCL1,HIF-1-alpha transcription factor network,PID,"(""HIF1 alpha"" AND cancer) AND (""systems biology"" OR computational)","(""HIF1 alpha"" AND cancer)",5,168,775,67
TGFB1|TGFB3|WWP1|SMAD4|RPS6KB1|SMAD7|SMAD2|SMAD3|CTNNB1|ZFYVE9|XIAP|ARRB2|DAB2|SPTBN1|CAV1|SMURF1|DAXX|SMURF2|AXIN1|WISP2|TFAP2B|ZFYVE16|MAP3K7|PARD6A|STRAP|RNF111|PML|DYNLRB1|YWHAE|TGFBR3|TGFBR2|TGFBR1|SHC1|PPP2R2A|CAMK2A|BAMBI|OCLN|TGFBRAP1|YAP1|SOS1|PPP1CA|PPP2CA|TAB2|TAB1|PPP2CB|EIF2A|PPP1R15A|NEDD4L|GRB2|FKBP1A|PDPK1|SKIL|SMAD4|SKI|SMAD2|SMAD3|MAP2K4|MAPK8|AP1|SMAD7|SMURF|MAPK14|MAP2K6|MAP2K3|MAP3K7|TGFBR1|ZFYVE9|CREBBP|EP300|SMAD6|SMAD3|TRAF6|ATF2|TGFBR2|RUNX2|TGFB2|TGFB1|FKBP1A,TGF-beta receptor signaling,PID,"(TGFB AND cancer) AND (""systems biology"" OR computational)",(TGFB AND cancer),9,162,722,78
IL7R|CNGA3|STAT3|SHC1|IL2RG|FYN|JAK1|GSK3A|GPX3|GSK3B|STAT5B|STAT5A|PTK2B|TNFRSF8|JAK3|PIK3R1|IL7|MMAB,IL-7 Signalling Pathway,NetPath,"(IL7 AND cancer) AND (""systems biology"" OR computational)",(IL7 AND cancer),0,162,184,18
EFNB2|RNASE1|EFNB1|DNM1|MAP2K4|YES1|NCOA3|ITGA2B|FYN|MAP3K7|FGR|TIAM1|PIK3R1|RGS3|MAPK8|EPHB2|ITGB3|EPHB1|EPHB4|BLK|HCK|LYN|NCK2|PTPN13|PIK3CA|LCK,Ephrin B reverse signaling,PID,"(Ephrin B AND cancer) AND (""systems biology"" OR computational)",(Ephrin B AND cancer),3,145,403,26
RNASE1|PTK2|CCL5|SDC4|DNM2|ITGA5|SDCBP|ADAM12|NUDT16L1|RHOA|MMDK|FZD7|THBS1|TFPI|ITGB1|LAMA1|LAMA4|PRKCA|CXCR4|PRKCD|TNC|FGF6|RNY4P3|CXCL12|TNFRSF13B|FGF2|FGFR1|ACTN1|FN1|PLGRKT|MMP9|GIPC1,Syndecan-4-mediated signaling events,PID,"(syndecan 4 AND cancer) AND (""systems biology"" OR computational)",(syndecan 4 AND cancer),2,144,375,32
HSPD1P12|HMGB1|VCAN|SAA1|IKBKB|IKBKG|TICAM1|TIRAP|S100A9|S100A8|SFTPA1|IRAK2|MYD88|IRAK4|NDUFA2|CHUK|BGN|LY96|RHOA|IRAK1|TLR2|TLR3|TLR1|TLR6|TLR4|MAP3K7|IKBKB|RELA|NFKB1|IKBKE|NFKBIA|IRF3|MAP2K1|MAP2K2|MAPK1|MAPK3|TICAM2|MAP3K8|MAP3K1|TBK1|MYD88|IRAK1|MAPK8|MAP2K7|MAP2K6|MAPK14|MAP2K3|SARM1|TICAM1|TIRAP|TRAF6,Endogenous TLR signaling,PID,"((endogenous and TLR) AND cancer) AND (""systems biology"" OR computational)",((endogenous and TLR) AND cancer),0,142,475,51
PRKCI|EHD4|CRKL|DNAJA3|NRAS|HRAS|DOCK1|GAB2|RAP1B|FRS3|GAB1|MAP2K1|DNM1|RAPGEF1|GIPC1|ABL1|CRK|BDNF|RGS19|STAT3|MAPK3|PIK3CA|ACKR1|DYNLT1|NTRK1|NTRK2|NTRK3|TIAM1|MAPK1|PIK3R1|RNASE1|NTF3|NTF4|SHC1|SHC2|SHC3|NGFR|KIDINS220|RIT2|PRKCZ|RAP1A|FAIM|RHOA|FRS2|RHOG|RASA1|KRAS|SQSTM1|RASGRF1|SOS1|CCND1|MAGED1|PTPN11|MCF2L|PLCG1|ELMO1|NEDD4L|ARHGAP32|GRB2|RIT1|MATK|CDC42,Neurotrophic factor-mediated Trk receptor signaling,PID,"((Trk AND regulation) AND cancer) AND (""systems biology"" OR computational)",((Trk AND regulation) AND cancer),0,141,890,62
IL7R|CRLF2|JAK1|STAT5B|STAT5A|JAK2|TSLP,TSLP Signalling Pathway,NetPath,"(TSLP AND cancer) AND (""systems biology"" OR computational)",(TSLP AND cancer),4,138,107,7
EPHA5|FYN|EFNA5,Ephrin A reverse signaling,PID,"((ephrin A AND reverse) AND cancer) AND (""systems biology"" OR computational)",((ephrin A AND reverse) AND cancer),1,131,95,3
SNX2|SNX1|GNAO1|DNM2|TRPC6|AKAP13|ARRB1|GNAI2|GNAI3|ZYX|GNAI1|RHOA|PIK3CA|GRK3|ARHGEF1|PKN1|PIK3R1|ARHGDIA|GNA12|MYL2|PLCB1|PLCB2|PLCB3|PRKCA|PRKCB|GNB1|PRKCD|PRKCG|GNAZ|F2RL2|VASP|RNY4P3|GNAQ|NANOS3|ROCK1|ROCK2|F2R|GNA14|GNA15|GNG2|GNA13|GNA11|DNM1,PAR1-mediated thrombin signaling events,PID,"((PAR1 AND thrombin) AND cancer) AND (""systems biology"" OR computational)",((PAR1 AND thrombin) AND cancer),1,121,480,43
LGALS3|HDAC1|FBXW11|GNAO1|AKT1|MAP2K1|HDAC2|ARRB2|RBBP4|GNAI2|GNAI3|GNAI1|XPO1|SAP30|SMOX|IFT88|GLI2|GLI3|CSNK1D|GLI1|SAP18|GNG2|SIN3B|SIN3A|FOXA2|SPOP|GNB1|PRKCD|CSNK1G2|CSNK1G3|MTSS1|SUFU|SHH|KITLG|KIF3A|RAB23|CSNK1A1|IFT172|BTRC|RBBP7|GNAZ|GSK3B|CSNK1E|CSNK1G1|PIAS1|PRKACA|STK36|PTCH1|CREBBP,Hedgehog signaling events mediated by Gli proteins,PID,"(hedgehog AND ""gli protein"" AND cancer) AND (""systems biology"" OR computational)","(hedgehog AND ""gli protein"" AND cancer)",5,121,449,49
EPHB2|TGFB1|HRAS|BAX|EPB41|EZR|CAV2|FGFR4|NCOA3|FGFR2|CASK|FGFR3|MAPK3|FGF19|MAPK1|NF1|MAPK8|ITGA2|ITGB1|LAMA1|LAMA4|PRKCD|RHOA|SDCBP|TNFRSF13B|RASA1|RACK1|CASP3|FN1|CXCL8|SDC2|KNG1|TRAPPC4|CSF2|PRRT2|PRKACA|MMP2|FGF23,Syndecan-2-mediated signaling events,PID,"(syndecan 2 AND cancer) AND (""systems biology"" OR computational)",(syndecan 2 AND cancer),2,120,490,38
CSF2RB|IL5RA|GRB2|PIM1|PIK3CA|PTPN11|SDCBP|STAT5B|STAT5A|IL5|JAK2|CISH|PIK3R1|LYN|CSF2RB|CRKL|HRAS|HLA-G|SPRED1|SDCBP|CTNNB1|PTK2B|RAPGEF1|DNM2|RAF1|SOX4|YWHAZ|UNC119|GRB2|JAK2|JAK1|CST2|LYN|SHC1|HCK|RACK1|SOCS1|SOS1|CNN2|SYK|STAT5B|STAT5A|IL5|CDC42,IL5-mediated signaling events,PID,"(IL5 AND cancer) AND (""systems biology"" OR computational)",(IL5 AND cancer),1,117,384,44
ARFGAP1|CD4|CLTA|CLTB|AP2M1|ARHGAP21|ARF1P1|EREG|RNASE1|ARFIP2|COPA|YKT6|GGA3|USO1|ARFGEF1|CYTH1|CYTH2|PAPOLA|PLD2|PIP5K1A|GIT1|GOSR2|AP2A1|KDELR1|GBF1|ASAP1,Arf1 pathway,PID,"(Arf1 AND cancer) AND (""systems biology"" OR computational)",(Arf1 AND cancer),0,116,222,26
RNASE1|PDGFRB|SPHK1|PLCB2|GNAO1|S1PR1|PDGFB|GNAZ|ABCC1|MAPK3|PLCG1|PACERR|VEGFA|MAPK1|RHOA|PRRT2|GNAI2|GNAI3|KDR|GNAI1,S1P1 pathway,PID,"(S1P1 AND cancer) AND (""systems biology"" OR computational)",(S1P1 AND cancer),1,116,199,20
CRKL|LRPAP1|ARHGEF2|ITGA3|RAP1A|AKT1|MAP2K7|RAPGEF1|DAB1|PIK3CA|FYN|NPY6R|CDK5R1|RELN|PIK3R1|MAPK8|VLDLR-AS1|ITGB1|MAP1B|PAFAH1B1|NCK2|LRP8|GSK3B|GRIN2B|MAP3K11|GRIN2A|CDK5|MAPT,Reelin signaling pathway,PID,"(reelin AND cancer) AND (""systems biology"" OR computational)",(reelin AND cancer),3,103,474,28
CD40LG|PLAUR|MAGEC3|GP1BA|FAM110A|ICAM4|ICAM3|ICAM2|ICAM1|USP2-AS1|FGG|FGA|FGB|SPON2|ITGB2|CYR61|JAM3|PLAU|PLAT|VCAM1|FCGR2A|F11R|ITGAX|ITGAD|KNG1|ITGAL|ITGAM|TGFBI|PROC,Beta2 integrin cell surface interactions,PID,"(beta2 integrin interactions AND cancer) AND (""systems biology"" OR computational)",(beta2 integrin interactions AND cancer),0,102,414,29
PDGFRB|SPHK1|PLAUR|HMGB1|PDGFB|FBN1|L1CAM|LAMB1|CYR61|IBSP|PECAM1|PVR|ITGA2B|THBS1|USP2-AS1|COL1A2|FGG|FGA|KDR|TGFBR2|ITGB3|LAMA4|CD47|PLAU|VTN|COL4A6|COL4A5|COL4A4|VEGFA|COL4A2|COL4A1|TGFBI|LAMC1|F11R|FN1|SDC1|EDIL3|SDC4|ITGAV|SPP1|FGB|COL1A1|COL4A3,Beta3 integrin cell surface interactions,PID,"(beta3 integrin interactions AND cancer) AND (""systems biology"" OR computational)",(beta3 integrin interactions AND cancer),1,98,856,43
CCNE1|TP53|CDC25C|PLK3|ATM|CHEK2,PLK3 signaling events,PID,"(PLK3 AND cancer) AND (""systems biology"" OR computational)",(PLK3 AND cancer),3,95,417,6
CCL2|NFATC1|LIF|NFATC3|PLAUR|JUND|NFATC2|DCN|CCNA2|CEBPD|JUN|USF2|FOSL1|FOSL2|DMTF1|CDKN2A|LAMA4|ITGB4|TXLNG|PLAU|BGLAP|THBD|EP300|GJA1|RNASEH2A|CCND1|CXCL8|NANOS3|HMOX1|IVL|MGP|COL1A2|MMP9|ATF4|PSG1|MMP2|MMP1,Validated transcriptional targets of AP1 family members Fra1 and Fra2,PID,"((Fra1 OR Fra2) AND cancer) AND (""systems biology"" OR computational)",((Fra1 OR Fra2) AND cancer),3,94,395,37
EFNB2|EFNB3|EFNB1|MAP4K4|KALRN|HRAS|RAP1B|RAP1A|RRAS|MAP2K1|PTK2|WASL|CRK|EPHB2|SH3GL2|NCOA3|ITSN1|PIK3CA|NRAS|MAPK3|MAPK1|SYNJ1|PXN|PIK3R1|RNASE1|EPHB3|EPHB1|SHC1|EPHB4|EFNA5|RASA1|KRAS|F3|NCK1|ROCK1|GRB2|GRB7|PAK1|CDC42,EPHB forward signaling,PID,"(EPHB AND cancer) AND (""systems biology"" OR computational)",(EPHB AND cancer),3,90,582,39
NCOA3|BTRC|REL|SYK|IKBKB|NFKBIA|DEFB119|MAPK14|ARRB2|PIK3R1|PIK3CA|NFKB1|LCK|BCL3,Atypical NF-kappaB pathway,PID,"((atypical AND (""NFkb"" or ""NF-kappa B"")) AND cancer) AND (""systems biology"" OR computational)","((atypical AND (""NFkb"" or ""NF-kappa B"")) AND cancer)",1,86,151,14
HIST1H4C|HIST1H4B|HIST1H4A|HDAC4|HIST1H4E|HIST1H4D|HIST1H4K|HIST1H4J|CDKN1A|HIST1H4H|KAT2B|BAX|HIST1H4L|FOXO3|FOXO1|FOXO4|HIST1H4F|XRCC6|HIST4H4|MYOD1|TUBA1B|PPARGC1A|HOXA10|FHL2|H3F3B|H3F3A|HIST1H4I|SIRT3|SIRT2|SIRT1|ACSS2|ACSS1|HIST1H1E|EP300|TUBB2A|TP53|MEF2D|CREBBP,Signaling events mediated by HDAC Class III,PID,"(HDAC class III AND cancer) AND (""systems biology"" OR computational)",(HDAC class III AND cancer),2,82,593,38
HDAC1|AES|FBXW11|DTX1|TLE1|HNF1A|NCSTN|ADAM10|WIF1|KREMEN2|PSENEN|DKK1|CTBP1-AS2|APH1B|APH1A|AXIN1|PSEN1|FOS|JUN|MAP3K7|MAPK3|MAPK1|MYC|NKD1|FZD1|DLL1|PPARD|APC|NLK|CSNK2A1|TAB1|CTNNB1|LRP6|CSNK1A1|DVL1P1|WNT1|BTRC|DKK2|NOTCH1|GSK3B|FRAT1|PPP2R5D|CCND1|RBPJ|CREBBP,Presenilin action in Notch and Wnt signaling,PID,"((presenilin AND (Notch OR WNT)) AND cancer) AND (""systems biology"" OR computational)",((presenilin AND (Notch OR WNT)) AND cancer),5,81,396,45
LAMA1|LAMA2|LAMC1|LAMA4|LAMA5|ITGA6|LAMC2|LAMB1|LAMB3|LAMB2|ITGB4,Alpha6 beta4 integrin-ligand interactions,PID,"((alpha6 beta4 integrin AND interaction) AND cancer) AND (""systems biology"" OR computational)",((alpha6 beta4 integrin AND interaction) AND cancer),1,80,422,11
NFATC1|NFATC2|NFATC3|CD40LG|CALM2|CALM3|FOS|JUN|FOSL1|PRKACA|CREM|IL2RA|IFNG|FASLG|AKAP5|RNASEH2A|CSF2|IL4|PACERR|IL2|IL3|FKBP1A|BATF3|POU2F1,Calcium signaling in the CD4 TCR pathway,PID,"((calcium AND CD4 AND TCR) AND cancer) AND (""systems biology"" OR computational)",((calcium AND CD4 AND TCR) AND cancer),1,71,155,24
PIK3R6|MAP2K1|MAPK1|PIK3CG|PDE3B,Class IB PI3K non-lipid kinase events,PID,"(Class IB PI3K AND cancer) AND (""systems biology"" OR computational)",(Class IB PI3K AND cancer),1,64,92,5
TGFB1|NFATC2|TBX21|CD4|CD247|NCOR2|HLA-DRA|STAT4|STAT3|TRBC1|IL18RAP|CD80|JUN|CD86|MAPK8|MAPK9|CD28|FOS|IFNG|IL18R1|PRF1|IL18|IL2RA|IRF1|ETV5|IL13|PIAS2|IL2|LOC105369230|CD3D|CD3E|CREBBP|CD3G,IL12 signaling mediated by STAT4,PID,"((IL12 AND STAT4) AND cancer) AND (""systems biology"" OR computational)",((IL12 AND STAT4) AND cancer),1,58,311,33
BMP7|AMH|ACVR1|SMAD9|SMAD4|SMAD5|AMHR2|SMAD1|TLX2|BMPR2|FKBP1A,ALK2 signaling events,PID,"(ALK2 AND cancer) AND (""systems biology"" OR computational)",(ALK2 AND cancer),1,58,92,11
EPHX1|VCPKMT|STAT3|IL2RG|KAT5|GNAQP1|GPX3|GRB2|TNFRSF8|JAK3|PIK3R1|JAK1|CD1B,IL-9 Signalling Pathway,NetPath,"(IL9 AND cancer) AND (""systems biology"" OR computational)",(IL9 AND cancer),1,57,117,13
RPE65|OPN1MW|GNAT2|GRK7|CNGB3|RDH5|GRK1|LRAT|RGS9|GUCY2D|GUCY2F|GNB5|SLC24A2|GNB3|CNGA3|ARR3|RGS9BP|PDE6C|GNGT2|RDH12|PDE6H|GUCA1A|GUCA1C|GUCA1B,Visual signal transduction Cones,PID,"(visual cones AND cancer) AND (""systems biology"" OR computational)",(visual cones AND cancer),0,56,253,24
